file,column,definition,Comments
stations.csv,kit_nr,Kit number as provided by the GEM Project Team,
,station_id,Station identifier,
,latitude_decdeg,Latitude as provided in decimal degrees,
,longitude_decdeg,Longitude as provided in decimal degrees,
,comments,Comments associated with the station,
,,,
,,,
{YYYY-MM-DD}_survey_final.csv,Sampling Event Number,Unique number for the sampling event: {kit_nr}_{event_number},
,survey_date,Date of the survey in YYYY-MM-DD,
,time_zone,The timezone in which the survey was done,
,station_id,The station_id; has to have an associated entry in stations.csv,
,cast_type,"Description of the type of cast (single cast, double cast)",
,latitude_decdeg,Latitude at sampling location as provided in decimal degrees,
,longitude_decdeg,Longitude at sampling location as provided in decimal degrees,
,Start Time,Local time at which the instrument was deployed (HH:MM),
,Instrument Time,Local time at which the instrument measurements were taken (HH:MM),
,Water Sample Tim,Local time at which the water sample was collected (messenger dropped) (HH:MM),
,Depth,Depth of the targeted sampling event in meters (m). ,
,crew,Abbreviations for crew members responsible for sampling collection,
,sample_depth_m,"Depth, in meters, of the targeted sampling event",
,weather,A free text description of the weather on the survey day,
,comments,Any comments associated with the sampling event,
,,,
{YYYY-MM-DD}_aquafluor_final.csv,Sampling Event Number,Unique number for the sampling event: {kit_nr}_{event_number}. Has to have a corresponding entry in survey file,
,Survey_date,Date of the survey in YYYY-MM-DD,
,Analysis Date,Date of the analysis in YYYY-MM-DD,
,Name of the Analyser,Name of the individual(s) responsible for analysis of the sample,
,Timezone,The timezone in which the analysis was done,
,Aquafluor sample ID,Sample ID as provided by the Aquafluor,
,Value,Chlorophyll or turbidity measurement value provided by the Aquafluor,
,Channel,"The parameter measured by the Aquafluor. TRB = turbidity, IVCH = In vivo Chlorophyll",
,GEM Sample ID,Unique string given by participant for the Aquafluor sample ID. Should follow the format: {Sampling Event Number}_{Channel}_{Replicate},
,Comment,Any comments associated with this measurement,
,Quality Flag,"Primary-level flag values: 1 = Good; 2 = Not evaluated, not available, or unknown; 3 = Questionable/suspect; 4 = Bad; 5 = Missing data",Quality Flag scheme: https://repository.oceanbestpractices.org/bitstream/handle/11329/413/MG54_3.pdf?sequence=1&isAllowed=y
,,,
{YYYY-MM-DD}_Instruments_final.csv,Sampling Event Number,Unique number for the sampling event: {kit_nr}_{event_number}. Has to have a corresponding entry in survey file,
,Survey Date,Date of the survey in YYYY-MM-DD,
,Instrument Time,Time of variable measurement as recorded by the instrument (HH:MM),
,Variable,Ecological variable measured,
,Value,Value of the variable measured,
,Unit of Measurement,Unit of measurement associated with the variable,
,GEM Sample ID,Unique string given by the participant for the instrument sample ID. Should follow the format: {Sampling Event Number}_{Variable}_{Replicate},
,Comment,Any comments associated with this measurement,
,Quality Flag,"Primary-level flag values: 1 = Good; 2 = Not evaluated, not available, or unknown; 3 = Questionable/suspect; 4 = Bad; 5 = Missing data",Quality Flag scheme: https://repository.oceanbestpractices.org/bitstream/handle/11329/413/MG54_3.pdf?sequence=1&isAllowed=y
,,,
{YYYY-MM-DD}_ctd-diver_data.csv,,,
,,,
{YYYY-MM-DD}_miniDOT_data.csv,,,
