sampling_event_number,survey_date,instrument_time,value,unit_of_measurement,gem_sample_id,comment,quality_flag
1_1,2024-09-16,16:07,14.5,deg C,1_1_TDIV_1,,1
1_2,2024-09-16,16:15,13.297,deg C,1_2_TDIV_1,,1
1_3,2024-09-16,16:26,14.443,deg C,1_3_TDIV_1,,1
1_4,2024-09-16,16:32,13.617,deg C,1_4_TDIV_1,,1
1_5,2024-09-16,16:40,13.647,deg C,1_5_TDIV_1,1_5 is replicate measurement of 1_4,1
1_1,2024-09-16,16:07,33.95104,mS/cm,1_1_C_1,,1
1_2,2024-09-16,16:15,34.96612,mS/cm,1_2_C_1,,1
1_3,2024-09-16,16:26,34.97781,mS/cm,1_3_C_1,,1
1_4,2024-09-16,16:32,34.76241,mS/cm,1_4_C_1,,1
1_5,2024-09-16,16:40,34.84739,mS/cm,1_5_C_1,1_5 is replicate measurement of 1_4,1
1_1,2024-09-16,16:07,0.242,dbar,1_1_P_1,,1
1_2,2024-09-16,16:15,5.524,dbar,1_2_P_1,,1
1_3,2024-09-16,16:26,0.301,dbar,1_3_P_1,,1
1_4,2024-09-16,16:32,5.441,dbar,1_4_P_1,,1
1_5,2024-09-16,16:40,5.064,dbar,1_5_P_1,1_5 is replicate measurement of 1_4,1
1_1,2024-09-16,16:07,14.763,deg C,1_1_TDOT_1,,1
1_2,2024-09-16,16:15,13.46,deg C,1_2_TDOT_1,,1
1_3,2024-09-16,16:26,14.581,deg C,1_3_TDOT_1,,1
1_4,2024-09-16,16:32,13.801,deg C,1_4_TDOT_1,,1
1_5,2024-09-16,16:40,13.914,deg C,1_5_TDOT_1,1_5 is replicate measurement of 1_4,1
1_1,2024-09-16,16:07,12.42158,mg/L,1_1_DO_1,,1
1_2,2024-09-16,16:15,10.05629,mg/L,1_2_DO_1,,1
1_3,2024-09-16,16:26,12.76706,mg/L,1_3_DO_1,,1
1_4,2024-09-16,16:32,10.78165,mg/L,1_4_DO_1,,1
1_5,2024-09-16,16:40,10.81857,mg/L,1_5_DO_1,1_5 is replicate measurement of 1_4,1
1_1,2024-09-16,16:07,0.895,unitless,1_1_Q_1,,1
1_2,2024-09-16,16:15,0.896,unitless,1_2_Q_1,,1
1_3,2024-09-16,16:26,0.9,unitless,1_3_Q_1,,1
1_4,2024-09-16,16:32,0.897,unitless,1_4_Q_1,,1
1_5,2024-09-16,16:40,0.897,unitless,1_5_Q_1,1_5 is replicate measurement of 1_4,1
