sampling_event_number,survey_date,analysis_date,name_of_analyser,time_zone,dr1900_nutrient_program,dr1900_sample_id,gem_sample_id,result_mgL,comment,quality_flag,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_Blank,,0.0,,,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_2MGL_STD(001),,2.01,,,,,,,,,,,,,,,,,,,,,,
1_1,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_SMPL(001),1_1_SRP_1,0.11,,1,,,,,,,,,,,,,,,,,,,,
1_2,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_SMPL(002),1_2_SRP_1,0.14,,1,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_2MGL_STD(002),,2.00,,,,,,,,,,,,,,,,,,,,,,
1_3,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_SMPL(003),1_3_SRP_1,0.06,,1,,,,,,,,,,,,,,,,,,,,
1_3,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_SMPL(004),1_3_SRP_2,0.08,Shook sample cell & remeasured (003 sample),1,,,,,,,,,,,,,,,,,,,,
1_5,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_SMPL(005),1_5_SRP_1,0.11,,1,,,,,,,,,,,,,,,,,,,,
1_5,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_SMPL(006),1_5_SRP_2,0.12,Shook sample cell & remeasured (005 sample),1,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_2MGL_STD(003),,1.99,,,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_NRM(001),,0.15,,1,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_NRM(002),,0.14,,1,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,656 Silica HR,S_Blank,,0.0,,,,,,,,,,,,,,,,,,,,,,
